frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
58,0,0.95,0.98,1,0.27,0.02,0.0,0.0,0.29,0.89,0.0,0.48,0.03,0.0,0.01,0.25,0.0,0.09,1.19,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
59,0,0.967,0.98,1,0.35,0.02,0.0,0.0,0.26,0.78,0.0,0.44,0.01,0.0,0.01,0.25,0.0,0.05,1.21,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
60,0,0.984,0.98,1,0.26,0.0,0.0,0.0,0.32,0.82,0.0,0.31,0.02,0.0,0.02,0.27,0.0,0.11,1.21,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
61,0,1.0,0.98,1,0.35,0.03,0.0,0.0,0.28,0.61,0.0,0.4,0.03,0.0,0.01,0.31,0.0,0.07,1.16,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
62,0,1.017,0.98,1,0.27,0.03,0.0,0.0,0.37,0.71,0.0,0.39,0.04,0.0,0.01,0.33,0.0,0.09,1.09,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
63,0,1.034,0.98,1,0.28,0.03,0.0,0.0,0.3,0.74,0.0,0.46,0.02,0.0,0.0,0.37,0.0,0.03,1.08,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
64,0,1.05,0.98,1,0.26,0.0,0.0,0.0,0.36,1.03,0.0,0.41,0.03,0.0,0.0,0.32,0.0,0.03,1.02,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
65,0,1.067,0.98,1,0.24,0.0,0.0,0.0,0.27,0.94,0.0,0.31,0.05,0.0,0.0,0.24,0.0,0.0,1.11,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
66,0,1.084,0.98,1,0.22,0.0,0.0,0.0,0.29,0.95,0.0,0.23,0.05,0.0,0.0,0.14,0.0,0.0,1.05,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
67,0,1.1,0.98,1,0.2,0.0,0.0,0.0,0.26,0.74,0.0,0.19,0.03,0.0,0.0,0.12,0.0,0.01,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
68,0,1.117,0.98,1,0.24,0.0,0.0,0.0,0.25,0.74,0.0,0.16,0.0,0.0,0.02,0.2,0.0,0.01,0.92,0.36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
69,0,1.134,0.98,1,0.29,0.0,0.0,0.0,0.24,0.81,0.0,0.13,0.0,0.0,0.02,0.23,0.0,0.01,0.95,0.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
70,0,1.15,0.98,1,0.25,0.0,0.0,0.01,0.18,0.73,0.0,0.1,0.0,0.0,0.02,0.29,0.0,0.0,1.0,0.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
71,0,1.167,0.98,1,0.26,0.0,0.0,0.01,0.21,0.64,0.0,0.13,0.01,0.0,0.0,0.23,0.0,0.0,0.99,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
72,0,1.184,0.98,1,0.24,0.0,0.0,0.01,0.21,0.39,0.0,0.08,0.01,0.0,0.0,0.27,0.0,0.0,0.93,0.37,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
73,0,1.2,0.98,1,0.25,0.0,0.0,0.0,0.21,0.42,0.0,0.04,0.01,0.0,0.0,0.29,0.0,0.0,0.87,0.41,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
74,0,1.217,0.98,1,0.19,0.0,0.0,0.04,0.19,0.39,0.01,0.01,0.0,0.0,0.0,0.31,0.0,0.0,0.79,0.4,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
