frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
54,  0,  1.767,  0.98,  1, 0.00, 0.12, 1.19, 0.01, 0.00, 0.69, 0.00, 0.17, 0.62, 0.00, 0.03, 0.08, 0.00, 0.00, 0.32, 0.08, 0.06, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
55,  0,  1.800,  0.98,  1, 0.00, 0.00, 1.19, 0.01, 0.00, 0.70, 0.00, 0.20, 0.61, 0.00, 0.04, 0.08, 0.00, 0.00, 0.26, 0.09, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
56,  0,  1.833,  0.98,  1, 0.04, 0.00, 1.25, 0.00, 0.00, 0.64, 0.00, 0.22, 0.62, 0.00, 0.09, 0.06, 0.00, 0.00, 0.36, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
57,  0,  1.867,  0.98,  1, 0.04, 0.00, 1.22, 0.00, 0.00, 0.51, 0.00, 0.17, 0.60, 0.00, 0.05, 0.05, 0.00, 0.00, 0.43, 0.10, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
58,  0,  1.900,  0.98,  1, 0.04, 0.00, 1.19, 0.00, 0.00, 0.40, 0.00, 0.19, 0.60, 0.00, 0.12, 0.07, 0.00, 0.00, 0.44, 0.15, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
59,  0,  1.933,  0.98,  1, 0.01, 0.00, 1.19, 0.00, 0.00, 0.31, 0.00, 0.23, 0.60, 0.00, 0.12, 0.05, 0.00, 0.00, 0.47, 0.10, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
60,  0,  1.967,  0.98,  1, 0.01, 0.00, 1.25, 0.00, 0.00, 0.38, 0.01, 0.22, 0.64, 0.00, 0.18, 0.07, 0.00, 0.00, 0.37, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
61,  0,  2.000,  0.98,  1, 0.01, 0.00, 1.14, 0.00, 0.00, 0.45, 0.01, 0.20, 0.65, 0.00, 0.14, 0.12, 0.00, 0.00, 0.35, 0.09, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
62,  0,  2.033,  0.98,  1, 0.00, 0.03, 1.08, 0.00, 0.00, 0.54, 0.01, 0.13, 0.62, 0.00, 0.09, 0.14, 0.00, 0.00, 0.27, 0.10, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
63,  0,  2.067,  0.98,  1, 0.00, 0.03, 1.02, 0.00, 0.00, 0.53, 0.00, 0.08, 0.58, 0.00, 0.04, 0.17, 0.00, 0.01, 0.22, 0.11, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
