frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
55,  0,  1.800,  0.98,  1, 0.15, 0.07, 0.95, 0.09, 0.70, 1.39, 0.00, 0.15, 0.20, 0.00, 0.00, 0.07, 0.00, 0.00, 0.38, 0.10, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
56,  0,  1.833,  0.98,  1, 0.12, 0.02, 0.94, 0.10, 0.69, 1.39, 0.02, 0.14, 0.19, 0.00, 0.00, 0.13, 0.00, 0.00, 0.35, 0.18, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
57,  0,  1.867,  0.98,  1, 0.12, 0.02, 0.91, 0.11, 0.70, 1.45, 0.02, 0.17, 0.19, 0.00, 0.00, 0.19, 0.00, 0.00, 0.30, 0.18, 0.07, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
58,  0,  1.900,  0.98,  1, 0.12, 0.02, 0.92, 0.06, 0.69, 1.49, 0.02, 0.18, 0.18, 0.00, 0.00, 0.20, 0.00, 0.00, 0.28, 0.17, 0.13, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
59,  0,  1.933,  0.98,  1, 0.11, 0.04, 0.87, 0.06, 0.68, 1.59, 0.00, 0.16, 0.18, 0.00, 0.00, 0.17, 0.00, 0.00, 0.31, 0.13, 0.08, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
60,  0,  1.967,  0.98,  1, 0.10, 0.04, 0.82, 0.07, 0.68, 1.76, 0.00, 0.17, 0.17, 0.00, 0.00, 0.09, 0.00, 0.00, 0.32, 0.12, 0.06, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
61,  0,  2.000,  0.98,  1, 0.11, 0.07, 0.78, 0.09, 0.68, 1.89, 0.00, 0.18, 0.18, 0.00, 0.00, 0.12, 0.00, 0.00, 0.34, 0.17, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
62,  0,  2.033,  0.98,  1, 0.11, 0.07, 0.76, 0.06, 0.66, 1.88, 0.00, 0.21, 0.17, 0.00, 0.00, 0.12, 0.00, 0.00, 0.29, 0.13, 0.03, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
63,  0,  2.067,  0.98,  1, 0.12, 0.12, 0.79, 0.12, 0.64, 1.84, 0.00, 0.20, 0.19, 0.00, 0.00, 0.20, 0.00, 0.00, 0.23, 0.09, 0.04, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
64,  0,  2.100,  0.98,  1, 0.08, 0.08, 0.83, 0.07, 0.61, 1.77, 0.00, 0.19, 0.19, 0.00, 0.03, 0.14, 0.00, 0.00, 0.18, 0.03, 0.07, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
65,  0,  2.133,  0.98,  1, 0.09, 0.05, 0.89, 0.08, 0.60, 1.74, 0.00, 0.20, 0.19, 0.00, 0.03, 0.16, 0.00, 0.00, 0.19, 0.02, 0.12, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
66,  0,  2.167,  0.98,  1, 0.04, 0.00, 0.99, 0.01, 0.71, 1.82, 0.01, 0.29, 0.21, 0.00, 0.03, 0.16, 0.00, 0.00, 0.21, 0.04, 0.54, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
